adminPcode,name,male_population_2024,female_population_2024,population_2024
GN001001,Boffa,139941,143075,283016
GN001002,Boke,297713,301434,599147
GN001005,Fria,61830,66915,128745
GN001003,Gaoual,122420,135374,257794
GN001004,Koundara,84679,88314,172993
GN002001,Conakry,1118146,1093289,2211435
GN003001,Dabola,114656,126559,241215
GN003002,Dinguiraye,126640,134943,261583
GN003003,Faranah,180782,192348,373130
GN003004,Kissidougou,182476,194793,377269
GN004001,Kankan,311430,316757,628187
GN004002,Kerouane,137116,139356,276472
GN004003,Kouroussa,175009,182505,357514
GN004004,Mandiana,225367,222217,447584
GN004005,Siguiri,456842,445899,902741
GN005001,Coyah,170262,180638,350900
GN005002,Dubreka,217629,221888,439517
GN005003,Forecariah,156157,167103,323260
GN005004,Kindia,285183,299485,584668
GN005005,Telimele,174359,204172,378531
GN006001,Koubia,60637,72184,132821
GN006002,Labe,191272,231746,423018
GN006003,Lelouma,92420,124326,216746
GN006004,Mali,180634,202308,382942
GN006005,Tougue,74907,90540,165447
GN007001,Dalaba,80293,97556,177849
GN007002,Mamou,198729,225781,424510
GN007003,Pita,165766,204217,369983
GN008001,Beyla,214629,219753,434382
GN008002,Gueckedou,185664,201124,386788
GN008003,Lola,109641,118849,228490
GN008004,Macenta,178620,192213,370833
GN008005,Nzerekore,259979,268063,528042
GN008006,Yomou,74108,78128,152236
